<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,,,,,,,,,,,,
10-Sep-18,103830,103830,103830,103830,,,,,,,,,,,,
10-Sep-18,103880,103890,103880,103890,,,,,,,,,,,,
10-Sep-18,103950,103980,103930,103970,,,,,,,,,,,,
10-Sep-18,103890,103920,103890,103920,,,,,,,,,,,,
10-Sep-18,103970,103970,103970,103970,,,,,,,,,,,,
10-Sep-18,103930,103930,103930,103930,,,,,,,,,,,,
10-Sep-18,103900,103900,103900,103900,,,,,,,,,,,,
10-Sep-18,103960,103960,103960,103960,,,,,,,,,,,,
10-Sep-18,103940,103950,103920,103920,,,,,,,,,,,,
10-Sep-18,103900,103900,103900,103900,,,,,,,,,,,,
10-Sep-18,103860,103860,103860,103860,,,,,,,,,,,,
10-Sep-18,103850,103850,103820,103820,,,,,,,,,,,,
10-Sep-18,103840,103840,103840,103840,,,,,,,,,,,,
10-Sep-18,103870,103900,103870,103900,,,,,,,,,,,,
10-Sep-18,103890,103890,103890,103890,,,,,,,,,,,,
10-Sep-18,103890,103890,103890,103890,,,,,,,,,,,,
10-Sep-18,103830,103830,103820,103820,,,,,,,,,,,,
10-Sep-18,103800,103830,103800,103810,,,,,,,,,,,,
10-Sep-18,103830,103830,103830,103830,,,,,,,,,,,,
10-Sep-18,103840,103840,103840,103840,,,,,,,,,,,,
10-Sep-18,103860,103860,103840,103860,,,,,,,,,,,,
10-Sep-18,103850,103850,103830,103830,,,,,,,,,,,,
10-Sep-18,103810,103810,103750,103750,,,,,,,,,,,,
10-Sep-18,103760,103760,103740,103750,,,,,,,,,,,,
10-Sep-18,103750,103750,103740,103740,,,,,,,,,,,,
10-Sep-18,103770,103770,103720,103720,,,,,,,,,,,,
10-Sep-18,103720,103730,103710,103730,,,,,,,,,,,,
10-Sep-18,103750,103750,103750,103750,,,,,,,,,,,,
10-Sep-18,103780,103780,103770,103770,,,,,,,,,,,,
10-Sep-18,103760,103780,103760,103780,,,,,,,,,,,,
10-Sep-18,103820,103820,103820,103820,,,,,,,,,,,,
10-Sep-18,103810,103810,103810,103810,,,,,,,,,,,,
10-Sep-18,103790,103790,103790,103790,,,,,,,,,,,,
10-Sep-18,103800,103800,103800,103800,,,,,,,,,,,,
10-Sep-18,103840,103840,103840,103840,,,,,,,,,,,,
10-Sep-18,103890,103920,103860,103860,,,,,,,,,,,,
10-Sep-18,103820,103820,103820,103820,,,,,,,,,,,,
10-Sep-18,103800,103800,103780,103780,,,,,,,,,,,,
10-Sep-18,103750,103750,103750,103750,,,,,,,,,,,,
10-Sep-18,103750,103750,103750,103750,,,,,,,,,,,,
10-Sep-18,103790,103790,103790,103790,,,,,,,,,,,,
10-Sep-18,103730,103730,103730,103730,,,,,,,,,,,,
10-Sep-18,103740,103740,103740,103740,,,,,,,,,,,,
10-Sep-18,103780,103780,103780,103780,,,,,,,,,,,,
10-Sep-18,103770,103780,103770,103780,,,,,,,,,,,,
10-Sep-18,103710,103710,103550,103570,,,,,,,,,,,,
10-Sep-18,103540,103540,103460,103510,,,,,,,,,,,,
10-Sep-18,103510,103520,103450,103450,,,,,,,,,,,,
10-Sep-18,103430,103520,103380,103520,,,,,,,,,,,,
10-Sep-18,103470,103490,103450,103490,,,,,,,,,,,,
