<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,,,,,,,,,,,,
10-Sep-18,102980,102980,102980,102980,,,,,,,,,,,,
10-Sep-18,103020,103020,103020,103020,,,,,,,,,,,,
10-Sep-18,103020,103120,103020,103120,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103030,103030,103030,103030,,,,,,,,,,,,
10-Sep-18,103060,103060,103060,103060,,,,,,,,,,,,
10-Sep-18,103020,103020,103000,103000,,,,,,,,,,,,
10-Sep-18,103000,103000,103000,103000,,,,,,,,,,,,
10-Sep-18,103040,103040,103040,103040,,,,,,,,,,,,
10-Sep-18,103040,103090,103040,103090,,,,,,,,,,,,
10-Sep-18,103050,103050,103050,103050,,,,,,,,,,,,
10-Sep-18,103100,103150,103100,103100,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103120,103150,103120,103150,,,,,,,,,,,,
10-Sep-18,103100,103120,103100,103100,,,,,,,,,,,,
10-Sep-18,103130,103130,103130,103130,,,,,,,,,,,,
10-Sep-18,103150,103150,103140,103140,,,,,,,,,,,,
10-Sep-18,103150,103150,103150,103150,,,,,,,,,,,,
10-Sep-18,103140,103140,103140,103140,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103060,103060,103060,103060,,,,,,,,,,,,
10-Sep-18,103010,103010,103000,103000,,,,,,,,,,,,
10-Sep-18,102970,102970,102960,102960,,,,,,,,,,,,
10-Sep-18,102970,103030,102950,103030,,,,,,,,,,,,
10-Sep-18,103020,103020,103020,103020,,,,,,,,,,,,
10-Sep-18,103000,103000,103000,103000,,,,,,,,,,,,
10-Sep-18,103030,103030,103030,103030,,,,,,,,,,,,
10-Sep-18,103100,103100,103040,103040,,,,,,,,,,,,
10-Sep-18,103100,103100,103090,103090,,,,,,,,,,,,
10-Sep-18,103080,103080,103080,103080,,,,,,,,,,,,
10-Sep-18,103080,103080,103080,103080,,,,,,,,,,,,
10-Sep-18,103070,103070,103070,103070,,,,,,,,,,,,
10-Sep-18,103040,103040,103030,103030,,,,,,,,,,,,
10-Sep-18,103000,103020,103000,103020,,,,,,,,,,,,
10-Sep-18,103000,103000,102980,102980,,,,,,,,,,,,
10-Sep-18,103030,103030,103030,103030,,,,,,,,,,,,
10-Sep-18,103020,103020,103020,103020,,,,,,,,,,,,
10-Sep-18,103040,103040,103040,103040,,,,,,,,,,,,
10-Sep-18,103050,103220,103050,103170,,,,,,,,,,,,
10-Sep-18,103220,103220,103220,103220,,,,,,,,,,,,
10-Sep-18,103220,103300,103150,103180,,,,,,,,,,,,
10-Sep-18,103190,103190,103190,103190,,,,,,,,,,,,
10-Sep-18,103150,103210,103150,103210,,,,,,,,,,,,
10-Sep-18,103170,103170,103170,103170,,,,,,,,,,,,
10-Sep-18,103170,103170,103170,103170,,,,,,,,,,,,
10-Sep-18,103170,103170,103160,103170,,,,,,,,,,,,
10-Sep-18,103170,103170,103170,103170,,,,,,,,,,,,
10-Sep-18,103170,103170,103170,103170,,,,,,,,,,,,
10-Sep-18,103290,103290,103230,103230,,,,,,,,,,,,
10-Sep-18,103220,103220,103220,103220,,,,,,,,,,,,
10-Sep-18,103190,103200,103190,103200,,,,,,,,,,,,
10-Sep-18,103230,103230,103220,103220,,,,,,,,,,,,
10-Sep-18,103180,103180,103180,103180,,,,,,,,,,,,
10-Sep-18,103150,103150,103150,103150,,,,,,,,,,,,
10-Sep-18,103150,103150,103150,103150,,,,,,,,,,,,
10-Sep-18,103170,103170,103170,103170,,,,,,,,,,,,
10-Sep-18,103160,103160,103160,103160,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103070,103070,103070,103070,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103080,103080,103080,103080,,,,,,,,,,,,
10-Sep-18,103050,103050,103050,103050,,,,,,,,,,,,
10-Sep-18,103040,103040,103040,103040,,,,,,,,,,,,
10-Sep-18,103010,103010,103010,103010,,,,,,,,,,,,
10-Sep-18,103060,103090,103060,103090,,,,,,,,,,,,
10-Sep-18,103010,103010,103010,103010,,,,,,,,,,,,
10-Sep-18,103050,103050,103050,103050,,,,,,,,,,,,
10-Sep-18,103030,103030,103030,103030,,,,,,,,,,,,
10-Sep-18,103050,103050,103050,103050,,,,,,,,,,,,
10-Sep-18,103040,103040,103040,103040,,,,,,,,,,,,
10-Sep-18,103110,103110,103090,103090,,,,,,,,,,,,
10-Sep-18,103130,103140,103130,103140,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103080,103080,103080,103080,,,,,,,,,,,,
10-Sep-18,103000,103020,103000,103020,,,,,,,,,,,,
10-Sep-18,103000,103000,103000,103000,,,,,,,,,,,,
10-Sep-18,102960,103230,102680,102680,,,,,,,,,,,,
10-Oct-18,116310,116460,116310,116440,,,,,,,,,,,,
10-Oct-18,116440,116450,116270,116330,,,,,,,,,,,,
10-Oct-18,116320,116320,116210,116220,,,,,,,,,,,,
10-Oct-18,116230,116260,116070,116100,,,,,,,,,,,,
10-Oct-18,116100,116130,116020,116100,,,,,,,,,,,,
10-Oct-18,116120,116160,115880,115900,,,,,,,,,,,,
10-Oct-18,115890,115900,115670,115690,,,,,,,,,,,,
10-Oct-18,115700,115780,115590,115760,,,,,,,,,,,,
10-Oct-18,115760,115890,115760,115820,,,,,,,,,,,,
10-Oct-18,115840,115850,115670,115680,,,,,,,,,,,,
10-Oct-18,115680,115690,115510,115560,,,,,,,,,,,,
10-Oct-18,115560,115640,115480,115520,,,,,,,,,,,,
10-Oct-18,115530,115600,115510,115570,,,,,,,,,,,,
10-Oct-18,115590,115610,115550,115610,,,,,,,,,,,,
10-Oct-18,115610,115640,115200,115370,,,,,,,,,,,,
10-Oct-18,115350,115520,115350,115470,,,,,,,,,,,,
10-Oct-18,115470,115550,115470,115530,,,,,,,,,,,,
10-Oct-18,115520,115550,115450,115470,,,,,,,,,,,,
10-Oct-18,115470,115580,115420,115580,,,,,,,,,,,,
10-Oct-18,115580,115740,115530,115610,,,,,,,,,,,,
10-Oct-18,115610,115660,115530,115580,,,,,,,,,,,,
10-Oct-18,115570,115690,115530,115680,,,,,,,,,,,,
10-Oct-18,115670,115670,115560,115630,,,,,,,,,,,,
10-Oct-18,115630,115640,115470,115510,,,,,,,,,,,,
10-Oct-18,115500,115520,115380,115410,,,,,,,,,,,,
10-Oct-18,115420,115500,115410,115430,,,,,,,,,,,,
10-Oct-18,115430,115490,115430,115480,,,,,,,,,,,,
10-Oct-18,115490,115520,115440,115510,,,,,,,,,,,,
10-Oct-18,115510,115540,115280,115300,,,,,,,,,,,,
10-Oct-18,115290,115320,115250,115300,,,,,,,,,,,,
10-Oct-18,115310,115320,115110,115140,,,,,,,,,,,,
10-Oct-18,115130,115130,114840,114900,,,,,,,,,,,,
10-Oct-18,114900,114980,114880,114960,,,,,,,,,,,,
10-Oct-18,114950,114960,114860,114860,,,,,,,,,,,,
10-Oct-18,114860,114900,114770,114830,,,,,,,,,,,,
10-Oct-18,114820,115000,114760,114910,,,,,,,,,,,,
10-Oct-18,114910,114970,114870,114950,,,,,,,,,,,,
10-Oct-18,114930,114970,114860,114910,,,,,,,,,,,,
10-Oct-18,114900,115000,114890,114990,,,,,,,,,,,,
10-Oct-18,114990,114990,114880,114930,,,,,,,,,,,,
10-Oct-18,114920,114940,114840,114870,,,,,,,,,,,,
10-Oct-18,114880,114960,114850,114950,,,,,,,,,,,,
10-Oct-18,114950,114960,114860,114890,,,,,,,,,,,,
10-Oct-18,114900,115050,114870,115020,,,,,,,,,,,,
10-Oct-18,115020,115090,115010,115060,,,,,,,,,,,,
10-Oct-18,115080,115120,115020,115060,,,,,,,,,,,,
10-Oct-18,115070,115080,115000,115020,,,,,,,,,,,,
10-Oct-18,115010,115080,114980,114990,,,,,,,,,,,,
10-Oct-18,114970,114990,114880,114940,,,,,,,,,,,,
10-Oct-18,114930,115010,114920,115010,,,,,,,,,,,,
10-Oct-18,115010,115090,115010,115030,,,,,,,,,,,,
10-Oct-18,115020,115050,114960,114990,,,,,,,,,,,,
10-Oct-18,115020,115030,115000,115020,,,,,,,,,,,,
10-Oct-18,115000,115060,114960,114990,,,,,,,,,,,,
10-Oct-18,114990,115060,114990,115060,,,,,,,,,,,,
10-Oct-18,115060,115110,114980,115110,,,,,,,,,,,,
10-Oct-18,115110,115110,115050,115070,,,,,,,,,,,,
10-Oct-18,115080,115160,115080,115130,,,,,,,,,,,,
10-Oct-18,115130,115150,115040,115130,,,,,,,,,,,,
10-Oct-18,115120,115130,115010,115060,,,,,,,,,,,,
10-Oct-18,115070,115160,115050,115160,,,,,,,,,,,,
10-Oct-18,115160,115160,115030,115030,,,,,,,,,,,,
10-Oct-18,115030,115030,114720,114820,,,,,,,,,,,,
10-Oct-18,114830,114890,114790,114800,,,,,,,,,,,,
10-Oct-18,114790,114790,114680,114750,,,,,,,,,,,,
10-Oct-18,114750,114800,114700,114760,,,,,,,,,,,,
10-Oct-18,114760,114760,114670,114680,,,,,,,,,,,,
10-Oct-18,114680,114700,114600,114680,,,,,,,,,,,,
10-Oct-18,114680,114740,114640,114720,,,,,,,,,,,,
10-Oct-18,114730,114770,114710,114730,,,,,,,,,,,,
10-Oct-18,114730,114800,114720,114780,,,,,,,,,,,,
10-Oct-18,114780,114790,114720,114740,,,,,,,,,,,,
10-Oct-18,114740,114780,114690,114690,,,,,,,,,,,,
10-Oct-18,114700,114750,114690,114740,,,,,,,,,,,,
10-Oct-18,114740,114780,114680,114700,,,,,,,,,,,,
10-Oct-18,114710,114730,114670,114710,,,,,,,,,,,,
10-Oct-18,114710,114740,114690,114740,,,,,,,,,,,,
10-Oct-18,114750,114770,114700,114730,,,,,,,,,,,,
10-Oct-18,114740,114800,114710,114780,,,,,,,,,,,,
10-Oct-18,114780,114780,114730,114770,,,,,,,,,,,,
10-Oct-18,114770,114870,114750,114850,,,,,,,,,,,,
10-Oct-18,114840,114960,114820,114960,,,,,,,,,,,,
10-Oct-18,114940,115030,114900,114950,,,,,,,,,,,,
10-Oct-18,114950,114950,114890,114930,,,,,,,,,,,,
10-Oct-18,114930,114930,114850,114890,,,,,,,,,,,,
10-Oct-18,114890,114890,114800,114800,,,,,,,,,,,,
10-Oct-18,114800,114870,114790,114860,,,,,,,,,,,,
10-Oct-18,114850,114880,114830,114850,,,,,,,,,,,,
10-Oct-18,114860,114870,114800,114800,,,,,,,,,,,,
10-Oct-18,114800,114870,114800,114850,,,,,,,,,,,,
10-Oct-18,114860,115070,114850,115050,,,,,,,,,,,,
10-Oct-18,115040,115170,115010,115150,,,,,,,,,,,,
10-Oct-18,115150,115300,115120,115220,,,,,,,,,,,,
10-Oct-18,115210,115380,115210,115330,,,,,,,,,,,,
10-Oct-18,115340,115340,115240,115250,,,,,,,,,,,,
10-Oct-18,115250,115310,115220,115310,,,,,,,,,,,,
10-Oct-18,115310,115330,115270,115270,,,,,,,,,,,,
10-Oct-18,115270,115340,115260,115330,,,,,,,,,,,,
10-Oct-18,115340,115350,115280,115320,,,,,,,,,,,,
10-Oct-18,115320,115390,115290,115360,,,,,,,,,,,,
10-Oct-18,115370,115450,115360,115390,,,,,,,,,,,,
10-Oct-18,115400,115420,115190,115190,,,,,,,,,,,,
10-Oct-18,115190,115260,115130,115150,,,,,,,,,,,,
10-Oct-18,115160,115200,115000,115070,,,,,,,,,,,,
10-Oct-18,115060,115120,115060,115060,,,,,,,,,,,,
10-Oct-18,115080,115180,115080,115140,,,,,,,,,,,,
10-Oct-18,115130,115150,115100,115100,,,,,,,,,,,,
10-Oct-18,115110,115110,115010,115020,,,,,,,,,,,,
10-Oct-18,115010,115100,115010,115050,,,,,,,,,,,,
10-Oct-18,115060,115070,114970,114990,,,,,,,,,,,,
10-Oct-18,115000,115040,114980,115000,,,,,,,,,,,,
10-Oct-18,115000,115050,114980,114980,,,,,,,,,,,,
10-Oct-18,114980,114980,114920,114940,,,,,,,,,,,,
10-Oct-18,114940,115040,114930,115020,,,,,,,,,,,,
10-Oct-18,115020,115050,115000,115050,,,,,,,,,,,,
10-Oct-18,115060,115070,115040,115070,,,,,,,,,,,,
10-Oct-18,115080,115120,115070,115090,,,,,,,,,,,,
10-Oct-18,115090,115090,114960,115000,,,,,,,,,,,,
10-Oct-18,114990,115010,114880,114940,,,,,,,,,,,,
10-Oct-18,114930,115000,114920,114940,,,,,,,,,,,,
10-Oct-18,114950,115150,114920,115140,,,,,,,,,,,,
10-Oct-18,115130,115310,115040,115220,,,,,,,,,,,,
10-Oct-18,115220,115290,115210,115250,,,,,,,,,,,,
10-Oct-18,115250,115250,115200,115250,,,,,,,,,,,,
10-Oct-18,115240,115270,115200,115210,,,,,,,,,,,,
10-Oct-18,115210,115280,115190,115280,,,,,,,,,,,,
10-Oct-18,115270,115290,115240,115280,,,,,,,,,,,,
10-Oct-18,115290,115420,115290,115350,,,,,,,,,,,,
10-Oct-18,115360,115370,115270,115310,,,,,,,,,,,,
10-Oct-18,115290,115440,115290,115410,,,,,,,,,,,,
10-Oct-18,115400,115470,115380,115470,,,,,,,,,,,,
10-Oct-18,115470,115600,115460,115570,,,,,,,,,,,,
10-Oct-18,115560,115580,115480,115510,,,,,,,,,,,,
10-Oct-18,115520,115570,115480,115540,,,,,,,,,,,,
10-Oct-18,115540,115590,115510,115550,,,,,,,,,,,,
10-Oct-18,115530,115610,115520,115590,,,,,,,,,,,,
10-Oct-18,115600,115640,115520,115540,,,,,,,,,,,,
10-Oct-18,115550,115550,115440,115460,,,,,,,,,,,,
10-Oct-18,115460,115500,115390,115450,,,,,,,,,,,,
10-Oct-18,115440,115450,115380,115390,,,,,,,,,,,,
10-Oct-18,115390,115400,115260,115360,,,,,,,,,,,,
10-Oct-18,115350,115400,115330,115400,,,,,,,,,,,,
10-Oct-18,115390,115440,115340,115340,,,,,,,,,,,,
10-Oct-18,115350,115360,115280,115360,,,,,,,,,,,,
10-Oct-18,115360,115400,115300,115330,,,,,,,,,,,,
10-Oct-18,115330,115440,115290,115440,,,,,,,,,,,,
10-Oct-18,115440,115490,115380,115380,,,,,,,,,,,,
10-Oct-18,115380,115420,115360,115410,,,,,,,,,,,,
10-Oct-18,115400,115510,115390,115480,,,,,,,,,,,,
10-Oct-18,115460,115510,115390,115390,,,,,,,,,,,,
10-Oct-18,115400,115400,115320,115350,,,,,,,,,,,,
10-Oct-18,115340,115350,115240,115290,,,,,,,,,,,,
10-Oct-18,115290,115290,115210,115280,,,,,,,,,,,,
10-Oct-18,115270,115310,115250,115300,,,,,,,,,,,,
10-Oct-18,115300,115320,115260,115320,,,,,,,,,,,,
10-Oct-18,115300,115300,115240,115250,,,,,,,,,,,,
10-Oct-18,115260,115380,115230,115370,,,,,,,,,,,,
10-Oct-18,115360,115530,115360,115520,,,,,,,,,,,,
10-Oct-18,115520,115580,115470,115530,,,,,,,,,,,,
10-Oct-18,115530,115570,115480,115550,,,,,,,,,,,,
10-Oct-18,115570,115720,115550,115680,,,,,,,,,,,,
10-Oct-18,115700,115710,115650,115680,,,,,,,,,,,,
10-Oct-18,115680,115680,115600,115620,,,,,,,,,,,,
10-Oct-18,115620,115900,115610,115830,,,,,,,,,,,,
10-Oct-18,115840,115890,115790,115810,,,,,,,,,,,,
10-Oct-18,115820,115830,115770,115820,,,,,,,,,,,,
10-Oct-18,115820,115870,115810,115840,,,,,,,,,,,,
10-Oct-18,115830,115860,115800,115850,,,,,,,,,,,,
10-Oct-18,115850,115910,115780,115810,,,,,,,,,,,,
10-Oct-18,115810,115900,115810,115840,,,,,,,,,,,,
10-Oct-18,115830,115910,115830,115880,,,,,,,,,,,,
10-Oct-18,115860,115860,115770,115780,,,,,,,,,,,,
10-Oct-18,115780,115860,115760,115780,,,,,,,,,,,,
10-Oct-18,115780,115800,115720,115730,,,,,,,,,,,,
10-Oct-18,115730,115790,115680,115780,,,,,,,,,,,,
10-Oct-18,115780,115820,115720,115820,,,,,,,,,,,,
10-Oct-18,115810,115830,115770,115800,,,,,,,,,,,,
10-Oct-18,115790,115800,115740,115740,,,,,,,,,,,,
10-Oct-18,115740,115790,115710,115730,,,,,,,,,,,,
10-Oct-18,115730,115730,115660,115660,,,,,,,,,,,,
10-Oct-18,115680,115700,115650,115680,,,,,,,,,,,,
10-Oct-18,115680,115720,115680,115690,,,,,,,,,,,,
10-Oct-18,115700,115730,115620,115630,,,,,,,,,,,,
10-Oct-18,115640,115750,115640,115750,,,,,,,,,,,,
10-Oct-18,115750,115860,115720,115830,,,,,,,,,,,,
10-Oct-18,115820,115830,115740,115750,,,,,,,,,,,,
10-Oct-18,115730,115760,115720,115720,,,,,,,,,,,,
10-Oct-18,115720,115790,115700,115770,,,,,,,,,,,,
10-Oct-18,115770,115800,115750,115770,,,,,,,,,,,,
10-Oct-18,115750,115750,115670,115680,,,,,,,,,,,,
10-Oct-18,115680,115750,115660,115700,,,,,,,,,,,,
10-Oct-18,115690,115710,115630,115690,,,,,,,,,,,,
10-Oct-18,115690,115690,115640,115650,,,,,,,,,,,,
10-Oct-18,115650,115780,115640,115780,,,,,,,,,,,,
10-Oct-18,115770,115840,115740,115840,,,,,,,,,,,,
10-Oct-18,115840,116040,115830,116000,,,,,,,,,,,,
10-Oct-18,115990,115990,115920,115920,,,,,,,,,,,,
10-Oct-18,115920,115940,115890,115910,,,,,,,,,,,,
10-Oct-18,115920,115950,115910,115930,,,,,,,,,,,,
10-Oct-18,115910,115920,115820,115840,,,,,,,,,,,,
10-Oct-18,115850,115920,115840,115890,,,,,,,,,,,,
10-Oct-18,115900,115980,115900,115950,,,,,,,,,,,,
10-Oct-18,115950,116000,115920,115930,,,,,,,,,,,,
10-Oct-18,115930,115990,115930,115950,,,,,,,,,,,,
10-Oct-18,115950,115960,115910,115940,,,,,,,,,,,,
10-Oct-18,115950,115980,115870,115890,,,,,,,,,,,,
10-Oct-18,115900,115950,115890,115910,,,,,,,,,,,,
10-Oct-18,115900,115970,115890,115930,,,,,,,,,,,,
10-Oct-18,115920,115970,115900,115920,,,,,,,,,,,,
10-Oct-18,115910,116010,115910,115940,,,,,,,,,,,,
10-Oct-18,115950,115980,115950,115970,,,,,,,,,,,,
10-Oct-18,115970,116220,115970,116180,,,,,,,,,,,,
10-Oct-18,116190,116240,116160,116160,,,,,,,,,,,,
10-Oct-18,116170,116260,116160,116210,,,,,,,,,,,,
10-Oct-18,116210,116290,116180,116270,,,,,,,,,,,,
10-Oct-18,116270,116290,116230,116240,,,,,,,,,,,,
10-Oct-18,116250,116430,116240,116360,,,,,,,,,,,,
10-Oct-18,116360,116420,116320,116360,,,,,,,,,,,,
10-Oct-18,116360,116370,116280,116290,,,,,,,,,,,,
10-Oct-18,116280,116300,116250,116290,,,,,,,,,,,,
10-Oct-18,116290,116360,116260,116300,,,,,,,,,,,,
10-Oct-18,116310,116320,116230,116280,,,,,,,,,,,,
10-Oct-18,116290,116310,116220,116230,,,,,,,,,,,,
10-Oct-18,116220,116260,116210,116220,,,,,,,,,,,,
10-Oct-18,116220,116320,116210,116310,,,,,,,,,,,,
10-Oct-18,116300,116340,116260,116260,,,,,,,,,,,,
10-Oct-18,116260,116320,116250,116290,,,,,,,,,,,,
10-Oct-18,116280,116280,116240,116270,,,,,,,,,,,,
10-Oct-18,116250,116330,116250,116280,,,,,,,,,,,,
10-Oct-18,116270,116310,116260,116260,,,,,,,,,,,,
10-Oct-18,116280,116360,116280,116300,,,,,,,,,,,,
10-Oct-18,116310,116310,116250,116260,,,,,,,,,,,,
10-Oct-18,116270,116280,116210,116230,,,,,,,,,,,,
10-Oct-18,116240,116270,116220,116240,,,,,,,,,,,,
10-Oct-18,116240,116250,116210,116230,,,,,,,,,,,,
10-Oct-18,116220,116230,116180,116180,,,,,,,,,,,,
10-Oct-18,116180,116190,116120,116120,,,,,,,,,,,,
10-Oct-18,116130,116150,116080,116150,,,,,,,,,,,,
10-Oct-18,116130,116270,116130,116250,,,,,,,,,,,,
10-Oct-18,116250,116300,116230,116260,,,,,,,,,,,,
10-Oct-18,116260,116260,116180,116220,,,,,,,,,,,,
10-Oct-18,116230,116240,116170,116170,,,,,,,,,,,,
10-Oct-18,116180,116190,116080,116080,,,,,,,,,,,,
10-Oct-18,116090,116100,116040,116060,,,,,,,,,,,,
10-Oct-18,116040,116150,116040,116120,,,,,,,,,,,,
10-Oct-18,116120,116160,116110,116120,,,,,,,,,,,,
10-Oct-18,116120,116160,116080,116100,,,,,,,,,,,,
10-Oct-18,116090,116110,116030,116070,,,,,,,,,,,,
10-Oct-18,116060,116090,116040,116070,,,,,,,,,,,,
10-Oct-18,116070,116110,116050,116110,,,,,,,,,,,,
10-Oct-18,116100,116120,116070,116070,,,,,,,,,,,,
10-Oct-18,116060,116100,116060,116100,,,,,,,,,,,,
10-Oct-18,116100,116120,115980,115990,,,,,,,,,,,,
10-Oct-18,115990,116020,115910,115960,,,,,,,,,,,,
10-Oct-18,115960,116040,115930,116020,,,,,,,,,,,,
10-Oct-18,116030,116130,116010,116120,,,,,,,,,,,,
10-Oct-18,116120,116130,116070,116110,,,,,,,,,,,,
10-Oct-18,116110,116140,116090,116140,,,,,,,,,,,,
10-Oct-18,116120,116140,116070,116130,,,,,,,,,,,,
10-Oct-18,116130,116180,116130,116180,,,,,,,,,,,,
10-Oct-18,116190,116240,116180,116230,,,,,,,,,,,,
10-Oct-18,116220,116280,116220,116270,,,,,,,,,,,,
10-Oct-18,116270,116270,116110,116180,,,,,,,,,,,,
10-Oct-18,116180,116230,116150,116160,,,,,,,,,,,,
10-Oct-18,116160,116170,116090,116100,,,,,,,,,,,,
10-Oct-18,116090,116100,116050,116080,,,,,,,,,,,,
10-Oct-18,116060,116080,116010,116040,,,,,,,,,,,,
10-Oct-18,116030,116050,115960,115980,,,,,,,,,,,,
10-Oct-18,115980,116010,115910,115950,,,,,,,,,,,,
10-Oct-18,115980,115980,115870,115930,,,,,,,,,,,,
10-Oct-18,115930,115950,115900,115930,,,,,,,,,,,,
10-Oct-18,115930,116010,115910,116000,,,,,,,,,,,,
10-Oct-18,116000,116020,115950,115970,,,,,,,,,,,,
10-Oct-18,115960,115980,115930,115980,,,,,,,,,,,,
10-Oct-18,115950,115960,115940,115950,,,,,,,,,,,,
10-Oct-18,115950,115950,115870,115880,,,,,,,,,,,,
10-Oct-18,115880,115890,115770,115800,,,,,,,,,,,,
10-Oct-18,115790,115830,115750,115760,,,,,,,,,,,,
10-Oct-18,115750,115780,115690,115750,,,,,,,,,,,,
10-Oct-18,115740,115740,115640,115690,,,,,,,,,,,,
10-Oct-18,115680,115690,115560,115660,,,,,,,,,,,,
10-Oct-18,115640,115640,115570,115600,,,,,,,,,,,,
10-Oct-18,115620,115720,115580,115690,,,,,,,,,,,,
10-Oct-18,115690,115690,115560,115560,,,,,,,,,,,,
10-Oct-18,115560,115630,115550,115630,,,,,,,,,,,,
10-Oct-18,115620,115680,115620,115640,,,,,,,,,,,,
10-Oct-18,115650,115660,115610,115620,,,,,,,,,,,,
10-Oct-18,115620,115650,115580,115600,,,,,,,,,,,,
10-Oct-18,115600,115620,115550,115570,,,,,,,,,,,,
10-Oct-18,115560,115630,115560,115600,,,,,,,,,,,,
10-Oct-18,115600,115640,115580,115630,,,,,,,,,,,,
10-Oct-18,115620,115680,115580,115680,,,,,,,,,,,,
10-Oct-18,115670,115750,115670,115700,,,,,,,,,,,,
10-Oct-18,115700,115720,115660,115660,,,,,,,,,,,,
10-Oct-18,115660,115680,115620,115640,,,,,,,,,,,,
10-Oct-18,115650,115750,115650,115740,,,,,,,,,,,,
10-Oct-18,115740,115790,115680,115790,,,,,,,,,,,,
10-Oct-18,115770,115790,115710,115740,,,,,,,,,,,,
10-Oct-18,115750,115770,115630,115640,,,,,,,,,,,,
10-Oct-18,115640,115660,115410,115470,,,,,,,,,,,,
10-Oct-18,115470,115510,115430,115460,,,,,,,,,,,,
10-Oct-18,115460,115520,115430,115480,,,,,,,,,,,,
10-Oct-18,115480,115510,115430,115450,,,,,,,,,,,,
10-Oct-18,115450,115520,115430,115520,,,,,,,,,,,,
10-Oct-18,115520,115530,115250,115300,,,,,,,,,,,,
10-Oct-18,115280,115410,115270,115330,,,,,,,,,,,,
10-Oct-18,115340,115380,115270,115380,,,,,,,,,,,,
10-Oct-18,115370,115430,115360,115400,,,,,,,,,,,,
10-Oct-18,115410,115440,115360,115420,,,,,,,,,,,,
10-Oct-18,115410,115450,115400,115440,,,,,,,,,,,,
10-Oct-18,115430,115450,115390,115450,,,,,,,,,,,,
10-Oct-18,115450,115450,115380,115400,,,,,,,,,,,,
10-Oct-18,115410,115440,115380,115430,,,,,,,,,,,,
10-Oct-18,115440,115480,115410,115450,,,,,,,,,,,,
10-Oct-18,115440,115510,115440,115460,,,,,,,,,,,,
10-Oct-18,115450,115450,115370,115380,,,,,,,,,,,,
10-Oct-18,115380,115430,115380,115400,,,,,,,,,,,,
10-Oct-18,115400,115400,115270,115300,,,,,,,,,,,,
10-Oct-18,115300,115300,115120,115130,,,,,,,,,,,,
10-Oct-18,115120,115220,115090,115190,,,,,,,,,,,,
10-Oct-18,115190,115230,115160,115160,,,,,,,,,,,,
10-Oct-18,115160,115250,115150,115230,,,,,,,,,,,,
10-Oct-18,115230,115260,115210,115250,,,,,,,,,,,,
10-Oct-18,115240,115250,115160,115170,,,,,,,,,,,,
10-Oct-18,115180,115210,115100,115140,,,,,,,,,,,,
10-Oct-18,115140,115140,115060,115100,,,,,,,,,,,,
10-Oct-18,115110,115120,115030,115050,,,,,,,,,,,,
10-Oct-18,115060,115100,115020,115050,,,,,,,,,,,,
10-Oct-18,115040,115080,115020,115070,,,,,,,,,,,,
10-Oct-18,115080,115080,115020,115060,,,,,,,,,,,,
10-Oct-18,115050,115120,115030,115110,,,,,,,,,,,,
10-Oct-18,115110,115110,115040,115060,,,,,,,,,,,,
10-Oct-18,115070,115080,115010,115040,,,,,,,,,,,,
10-Oct-18,115050,115080,115030,115060,,,,,,,,,,,,
10-Oct-18,115070,115080,115000,115030,,,,,,,,,,,,
10-Oct-18,115020,115080,114970,115040,,,,,,,,,,,,
10-Oct-18,115040,115150,115040,115140,,,,,,,,,,,,
10-Oct-18,115130,115130,115090,115110,,,,,,,,,,,,
10-Oct-18,115110,115150,115100,115150,,,,,,,,,,,,
10-Oct-18,115130,115200,115100,115110,,,,,,,,,,,,
10-Oct-18,115110,115170,115110,115170,,,,,,,,,,,,
10-Oct-18,115170,115240,115150,115220,,,,,,,,,,,,
10-Oct-18,115220,115230,115110,115210,,,,,,,,,,,,
10-Oct-18,115200,115210,115110,115150,,,,,,,,,,,,
10-Oct-18,115170,115190,115140,115150,,,,,,,,,,,,
10-Oct-18,115150,115160,115080,115150,,,,,,,,,,,,
10-Oct-18,115160,115200,115140,115200,,,,,,,,,,,,
10-Oct-18,115190,115260,115180,115250,,,,,,,,,,,,
10-Oct-18,115240,115360,115240,115320,,,,,,,,,,,,
10-Oct-18,115330,115360,115310,115350,,,,,,,,,,,,
10-Oct-18,115360,115370,115270,115300,,,,,,,,,,,,
10-Oct-18,115310,115370,115220,115360,,,,,,,,,,,,
10-Oct-18,115350,115390,115350,115370,,,,,,,,,,,,
10-Oct-18,115380,115440,115360,115390,,,,,,,,,,,,
